title,tag,artist,year,views,features,lyrics,id,language_cld3,language_ft,language
Number 301,rb,LoganPlayz,2021,7,{},"[Part I]

[Verse 1]
I love when he knows your afraid of the dark
The right time for halloween is a moonlight shine
The right time of day for lurking on his love
I love when he makes conversation

[Pre-Chorus]
And I want it with me
And I need it with me

[Chorus]
Up to the sky, up to the cloud and sea, baby
One love, our love, one love, one love
She got me caught up, focused on you
Look what you done got me caught up

[Verse 2]
You gotta let me, you gotta let me go
You gotta let me, you gotta let me go
You gotta let me, lеt me go
You gotta let me, lеt me go
[Pre-Chorus]
Up to the sky, up to the cloud and sea, baby
One love, our love, one love

[Chorus]
Up to the sky, up to the cloud and sea, baby
One love, our love, one love, one love
She got me caught up, focused on you
Look what you done got me caught up

[Bridge]
Hand in glove or brother against brother
Where every pack of cards one tells you which one wins

[Chorus]
Up to the sky, up to the cloud and sea, baby
One love, our love, one love, one love
She got me caught up, focused on you
Look what you done got me caught up

[Part II]

[Bridge]
I love getting caught in your eyes
So tell me the truth do you feel the same
I love them big long beautiful thighs
The way she gets rid of bucks like twinkle toes
Everytime she sees me
Just the way I want her
Follow me from here follow me as I go left
Follow me from here follow me as I go left
Follow me from here follow me as I go left
Follow me from here follow me as I go left",7067710,en,en,en
Robotic Thrust,pop,Doomsday Refreshment Committee,2007,18,{},"Drive it deep
Heavy breathing
Holding back never more
Pull out Push in
Choke hold and no more teasing
From your back to your knees
Serve it up I aim to please
Head back Eyes wide
I will turn your world upside down

Taste sweet
Sweet like candy
You keep me begging for more
Push in Pull out
Nail your ass to the floor
Taste the lust Taste the sin
Spread wide I shove it in
Head back Eyes wide
I will turn your world upside down

Drive it deep
Heavy breathing
You keep me begging for more
Taste the lust Taste the sin
Spread wide I shove it in
From you back to your knees
Serve it up I aim to please
Head back Eyes wide
I will turn your world upside down",1547704,en,en,en
Lemme Know Challenge Freestyle,rap,Martyn Chika,1,22,{},"Shout out shout out Ladi Poe Poe like it’s 911, uh
I just saw the G6 AMG and I want one, yeah
Smallest circle, you can’t nick it with no cannonballs, no
Money deal, I’m bout to ink it like a octopus, yeah
You got the message, I said it again and again like a stammerer
We never moving with jokers, it’s sumn like playing Casino and Baccarat
She work in Brooklyn but shawty from Canada
Put out some food on the table and watch her eyes light up like she was the avatar
I’m charged up, I’m in character
Oh that was your hardest material
When I hear the music I prolly laugh
I'm the truth if you talking rap, no spikes on the polygraph
Siya Kakkar with the verse, 16 in a body bag
They wanna see me in darkness, that’s why they looking with NV
But I ain’t talking bout no night vision lenses
Got all eyes on me I feel like Machiavelli
If you on this wave then raise your hand and let me, yeah yeah
Raise your hand and lemme know",5853892,en,en,en
Smoke On The Water,pop,Judith Owen,2005,51,{},"We all came out to Montreux
On the Lake Geneva shoreline
To make records with a mobile
We didn't have much time
Frank Zappa and the Mothers
Were at the best place around
But some stupid with a flare gun
Burned the place to the ground
Smoke on the water, fire in the sky
They burned down the gambling house
It died with an awful sound
Funky Claude was running in and out
Pulling kids out the ground
When it all was over
We had to find another place
But Swiss time was running out
It seemed that we would lose the race
Smoke on the water, fire in the sky
We ended up at the Grand Hotel
It was empty cold and bare
But with the Rolling truck Stones thing just outside
Making our music there
With a few red lights and a few old beds
We make a place to sweat
No matter what we get out of this
I know we'll never forget
Smoke on the water, fire in the sky",1341471,en,en,en
II The Peacock,misc,William Butler Yeats,1914,34,{},"What's riches to him
That has made a great peacock
With the pride of his eye?
The wind-beaten, stone-grey,
And desolate Three-rock
Would nourish his whim.
Live he or die
Amid wet rocks and heather,
His ghost will be gay
Adding feather to feather
For the pride of his eye.",171305,en,en,en
You Got To Go Up,rock,Andy Prieboy,2016,42,"{""Mike Keneally"",""Scott Thunes""}","You got to go up
Up to the mountain top
And moon up above
Out of that underground parking lot
You used to call love
Now you got to wear the crown that they gave you
You haven’t got a prayer if you throw it away
Break the chains that enslave you
Celebrate this triumphant day
I lived like a millionaire
On my minimum wage
Killing time and just  lling air
With my maximum rage
Then I heard the promises
After hearing the lies
Told by those Doubting Thomases
I’ve carried inside
Now you got to wear the crown that they gave you
You haven’t got a prayer if you throw it away
Break the chains that enslave you
Celebrate this triumphant day
Tune up your voices let the instruments play
Break the chains that enslave you
To celebrate this triumphant day",2899701,en,en,en
Last Laugh,rap,Canibus,2005,1331,{},"[Verse One]
Ha ha ha ha ha
Check out the bizarre style that I display god
Ha ha ha ha ha
Kinda like when the biz went
Eh eh eh eh eh
But this is the Canibus with the
Ha ha ha ha ha
Now
Ha ha ha ha ha
Ain't just the name of the song
Ha ha ha ha ha
It's probably my favorite response
When I'm walking on the street or I'm out at the mall
And people be talking that blah blah blah
Ha ha ha ha ha
But anyway, a regular day is just like this
Canibus writes a rhyme then Canibus spits, Like
Ha ha ha ha ha
I eat eat eat rhymes, Niggas don't be understanding that shit
Why you think I went and put a fucking mic on my arm
Cause it belongs to me and I belong next to Ghengis Khan
In a coffin carbon-dryed with my body in bronze
Like Han Solo when he got frozen in Star Wars
Ha ha ha ha ha
I'm great but I'm not the greatest
Ha ha ha ha ha
I believe I'm God but I'm not atheist
Ha ha ha ha ha
I'm crazy but I'm not the craziest
I'm just a normal heterosexual Homo Sapien
Ha ha ha ha ha
The industry tried to cave me and I was an archangel
But they changed me into Damien
Ha ha ha ha ha
The evil spirit of rap, the evil rapper
Ha ha ha ha ha
Rip the Jacker
Master of the ceremony, most people know me as such
My disciples know me as master 'Bus
I can
Ha ha ha ha ha
Change their life with a touch, cause I'm
Ha ha ha ha ha
Lyrically gifted as fuck
Can-I-Bus, could bust it down pound for pound
My style'll make a thousand MC's bow
Ha ha ha ha ha
You can yah yah yah cha cha cha cha cha all you want
Y'all niggas know the Canibus is the one
Ha ha ha ha ha
Ha ha ha ha ha
The rhyme creator
At the drop of a dime I spit 100 b-a-rs
I'm a S-T-A-R since the day I was born
And I'll be a star til the day that I'm gone
Ha ha ha ha ha
You can agree with uh-huh or disagree with uh-uh
Whatever, niggas can't front
Ha ha ha ha ha
If they respond too late to the 911 call
They find you on the floor with a razor blade in your palm
Deep cuts an inch wide and 5 inches long
Paramedics feel for a pulse to see if you gone
You was pronounced D.O.A. before you got to E.R
The doctor swore that suicide was the probably cause
Probably because, you weak insecure motherfuckers
Feel lost when you hear me roar
Ha ha ha ha ha
Like-uh the predator starring Schwartzenegger
Before he triggered the bomb he went
Ha ha ha ha ha
Ha ha ha ha ha
The evil spirit of rap, the evil rapper
Ha ha ha ha ha
Rip the Jacker
[Verse Two]
Its legibly unimaginable, mathematically incalculable
Inextricably infallible
Let's not forget utterly impossible or
Morally insurmountable to assume that I could lose if I battled you
My Scholastic Aptitude is 1602
100 bars was just a glimpse of the truth
Physical proof that I'm the best at this
I've constructed sentences
That'll stand longer than Stonehenge's megaliths
My 1st and 2nd albums consist of more then a million terabits
More than any of you rappers ever spit
Vote for me as President, in about a day or so
I be up in the White House getting fellatio
By an administrative assistant with deep throat
Butt naked on the floor knee deep in some coke
Or on a speaker phone freestyling with some of my folks
Humping a ho tampering with the Republican vote
I'm like Mel Gibson in Braveheart, fighting swordsman
Dodging arrows from the arches cause I'm a Horseman
Flying circles around you like flying saucers
Flying circles around the royal air force's flying fortress
Maximize my wins, minimize my losses
'Til I'm exhausted then lounge like the lyricists on Rawkus
I'm unsigned right now, it's like I'm an orphan
Looking for a home taking all calls and offers
Notify the Prince and the Duke of Earl
I'm probably the illest English speaking MC in the world
Ghetto fabulous, verbally hazardous
Ask any Baptist, Roman Catholic or satanic activist
Even them trippy hippies on college campuses know about Canibus
I've got rhymes like beads on an abacus
My styles totally out the bracket
Scientist in thick glasses and pocket protectors want to patent it
My talent is unmatched by any rapper in this rapping biz
By any rapper on this planet's grid
Show me where he is, I sign the ordinance
To bomb his coordinates with Agent Orange and torture him
Burn the skin off of him, throw a towel on him and stomp on him
Rip the towel off then pour salt on him
Continue my verbal assault on him til its 12 in the morning
And turn into the werewolf monster on him
Rip his heart out, eat it while its still pumping
The blood still running, it tastes like boiled dumplings
Starving artist, I turned down scholarships to Oxford College
Cause I heard they didn't serve porridge
Smarter than any man in Scotland Yard is
Used to work for MI-6 but quit cause I couldn't take orders
I was the original James Bond before Sean Conn', Roger Moore
Timothy Dalton and Pierce Brosnan
The most awesome walking, talking, breathing
English speaking MC in the European region
Rip you to pieces like Communism leaflets
Beef with 'Bis is like playing chess without the pieces
Modern Christians without Jesus, Rastas without reefer
Jamaicans in Princeton without visas
Radios without speakers, Mother Nature without the four seasons
Without a jacket outside when its freezing
I'mma tell you straight up, no lie
Canibus is the illest motherfucker alive
Ha ha ha ha ha
The evil spirit of rap, the evil rapper
Rip the Jacker",12814,en,en,en
Da Carjack,rap,Gangsta Boo,2011,195,"{""Project Pat""}","[Verse 1: Gangsta Boo]
I'm a call my nigga Project Pat
Dog I got them ends
I need 20's navigation 500 S Benz
Real quick
Can flip the script
I wanna be clean nigga
I wanna be seen nigga
Come and make this cheese nigga
I know where that nigga lay
I know where that nigga stay
I know you can get him, cause I fucked that boy the other day
Don't forget to beep me twice
When you get the prize
I'll be sittin here quiet
Waitin for tonight

[Verse 2: Project Pat]
I'm a let the gun talk once I find where he's livin
Or in the street if I catch his ass slippin
Hope when I ask for his shit
He start trippin
Bullets pop off, get his shit
Then i'm dippin
To your chop shop
Cause them cars you be flippin
I'm a get the one that'll fit your description
Must be the boy who you said who was trickin
Hit you on the horn cause this cheese I ain't missin
[Verse 3: Gangsta Boo]
Man look, I don't really talk on phones, they be tapped
You just make sure you get here
And you get back
I'll guide you for a minute
Since you don't know where he stay
Winchester, King's Gate, first left, driveway
Man ???????????????????????
I'm a be relaxin in my mansion like you've got a key
When I get the car
I'm gonna take it to ????????????
Hit me when you finished
What's the business
Are you diggin me

[Verse 4: Project Pat]
I do crime anywhere
And escape like Houdini
Say what you want
For the cheese i'm your genie
Saw the trick ridin in his hood lookin cleanie
Benzo with ???????? so i'm a scheme he
Never saw that jack move but it was meanie
Caught him at the light put the tone to his beanie
Blew his brains out, ???????????? on the scenie?
Thangs got a mess, but I got away cleanly",20832,en,en,en
The Man In The Arena,country,Jono Bond,2015,142,{},"[Verse 1]
Dust covers my face
Oh it marrs my sight
I turn to circle
Shown by heavenly light

[Pre-Chorus]
It does not matter
If I live
Or if I die

[Verse 2]
I do not question
All I do is fight
My grip is sweaty
My feet they are not sure

[Chorus]
It does not matter
If I live
Or if I die
Or if I die
It's the standing
That's right
[Bridge]
I turn to my adversary
Oh I can’t help but smile
So I sit here not caring
Not knowing for what I do fight
I could write ten more verses
But if you ain't go it by now
God knows you never will

[Pre-Chorus]
It does not matter
If I live
Or if I die
Or if I die

[Chorus]
It does not matter
If I live
Or if I die
Or if I die
It's the standing
That's right",2393191,en,en,en
DUNKELHEIT777,rap,Sunshine Christo,2021,25,{},"[Verse 1]
Blood on my hands
His prints were on my pants
I coulda shot him, but I stabbed him
Heard him cry once
Heard him cry twice
Forty year old man, begging for his life
Goodnight

[Interlude]
Waited till he got home
Looking through his windows
Saw he was all alone
Then I knocked at his home
Rang the doorbell, and I smiled at him
The fool was dumb enough to let me in

[Verse 2]
Sat on the couch and we talked about life
Ironic how soon he would want to end mine
Sunshine Christo going well, yeah it's going fine
You won’t be alive to see whole rise
To see the whole risе
Pushing all my buttons
Slowly getting madder, at that moment in timе
I realized it didn't matter
Premediated, but I'ma lose control
Three slashes and I’ve lost my soul
Felt the blade hit his flesh and cards began to fold
Held the knife sideways
Stabbing him like a deer on the highway
He was my prey, you can fucking pray but you can't be saved
Take one slash, not fast enough, not deep enough
Take another one, deeper and deeper
Right through his chest
Stab with such hatred, that you could tear through anything
His pulse went cold
His body's so warm
Looked in his eyes, they were wider than the sky
His blood was drenched in my knife
In my knife
[Verse 3]
Everything felt so quiet
I felt so numb
This the moment I've been waiting for and it's already done
Got up from the floor where I pinned him down
Laughed to myself, and then I left town
I left town

[Outro: Burzum]
A chill rises
From the soil
And contaminates the air",7265078,en,en,en
So Long Marianne Live in Dublin,rock,Leonard Cohen,2014,251,{},"Come over to the window, my little darling
I'd like to try to read your palm
I used to think I was some kind of Gypsy boy
Before I let you take me home

Now so long, Marianne, it's time that we began
To laugh and cry and cry and laugh about it all again

Well you know that I love to live with you
But you make me forget so very much
I forget to pray for the angels
And then the angels forget to pray for us

Now so long, Marianne, it's time that we began
To laugh and cry and cry and laugh about it all again

We met when we were almost young
Deep in the green lilac park
You held on to me like I was a crucifix
As we went kneeling through the dark
Now so long, Marianne, it's time that we began
To laugh and cry and cry and laugh about it all again

Your letters they all say that you're beside me now
Then why do I feel alone?
I'm standing on a ledge and your fine spider web
Is fastening my ankle to a stone

Now so long, Marianne, it's time that we began
To laugh and cry and cry and laugh about it all again

For now I need your hidden love
I'm cold as a new razor blade
You left when I told you I was curious
I never said that I was brave

Now so long, Marianne, it's time that we began
To laugh and cry and cry and laugh about it all again

Oh, you are really such a pretty one
I see you've gone and changed your name again
And just when I climbed this whole mountainside
To wash my eyelids in the rain!

Now so long, Marianne, it's time that we began
To laugh and cry and cry and laugh about it all again",1992053,en,en,en
Ease up / breakup  makeup,rap,throne (rapper),2017,99,"{""​throne (rapper)""}","[Chorus Pt.1 (x2)]
Break up, make up
Argue, hang up
Stack my cake up
She spend it all on makeup

[Chorus Pt.2]
Light my dank up
I'm out, crank up
Hater speak up
They mad 'cause I won't ease up

[Chorus]
Break up, make up
Argue, hang up
Stack my cake up
She spend it all on makeup
Light my dank up
I'm out, crank up
Hater speak up
They mad 'cause I won't ease up
[Verse 1]
In the night I think about your love, yeah
Tell me I'm the one you're thinking of, yeah
Called your phone but you did not pick up, oh
Kenzo logo on my gloves
Two pills, bitch, I'm faded
In the function and I'm draining
All my niggas the same and
We don't fuck with lames and
We don't like to say shit
(We don't fuck with lames and
We don't like to say shit)

[Chorus (x2)]
Break up, make up
Argue, hang up
Stack my cake up
She spend it all on makeup
Light my dank up
I'm out, crank up
Hater speak up
They mad 'cause I won't ease up

[Verse 2]
She can't take it
Please don't break my heart again
When you left me
I lost all of my consciousness
When I'm with you I can feel your heart transcend
Baby tell me it's forever, it'll never end
Ambo got me noddin'
I don't plan on stoppin'
I am from the Osbourne
I'm used to all these coffins
(Ambo got me noddin'
I don't plan on stoppin'
I am from the Osbourne
I'm used to all these coffins)
[Chorus Pt.1 (x3)]
Break up, make up
Argue, hang up
Stack my cake up
She spend it all on makeup

[Chorus Pt.2]
Light my dank up
I'm out, crank up
Hater speak up
They mad 'cause I won't ease up",3355025,en,en,en
Totally Lost,pop,Ice Hokku,2018,44,{},"We have been never surrounded
We build a naught and forget
The bomb that was build from sound
Don’t kill cause we already dead

You have no home and no pride
I just destroy everything
Hi, all my love is a lie
I am a waste, water me

I, I’m totally lost

Hey you, mzfcka, I see inside you're  sad
Don’t try to fight, put your outfit back inside
All my life I couldn't find the sight and lovely cost
I can read you like a book
And the reason - I’m lost

Day by day, day by day, I, I’m totally lost",4243651,en,en,en
Finesse Lyfe,rap,Ricky Mulah,2017,96,{},"[Hook]
Shootin' shit, we finessein shit
You ain't real enough, and that's on gang
Shootin' shit, we finessein shit
You ain't real enough, and that's on gang
Shootin' shit, we finessein' shit
Shootin' shit, we finessein shit
Shootin' shit, we finessein shit
You ain't real enough, and that's on gang

[FIRST VERSE]
Give me all them diamonds in the safe
I need Picasso paintings and the Persian rugs
From out they place (YAH)
This is not a drill, we coming trill
Run your mouth, then we pop you leave you spilled
Pull up on you on the boulevard
I catch you slippin, we coming hard
Niggas acting chicken, this is real life
This is not a barn
You rob me? I'll give you harm
I said you try to rob me (YAH) Give you harm
Thought you was my friend, but you was really trying to plot
That money coming in, you could never make it stop
I be working hard, yeah I clock in on the dot
If he fuckin' with my money, lil bitch gone have to drop

[Hook]
Shootin' shit, we finessein shit
You ain't real enough, and that's on gang
Shootin' shit, we finessein shit
You ain't real enough, and that's on gang
Shootin' shit, we finessein' shit
Shootin' shit, we finessein shit
Shootin' shit, we finessein shit
You ain't real enough, and that's on gang


[2ND VERSE]
I been blowing loud like a siren
You been blowing loud, but that loud silent
I get hoes wetter than a fire hydrant
Shootin' shit just like I ball
If I finesse, I finessem all
I'm a blue nose, you a Chihuahua
Cashin' out at the Hilton, I'm like ""do not bother""
Everyday that I wake, It's free my brother
Everytime they see me winnin, niggas wanna question it
When I hit you with that mack, families be depressed and shit
I-I got you compressed
My nigga say less
If he want war, Phh Phh to his head

[Hook]
Shootin' shit, we finessein shit
You ain't real enough, and that's on gang
Shootin' shit, we finessein shit
You ain't real enough, and that's on gang
Shootin' shit, we finessein' shit
Shootin' shit, we finessein shit
Shootin' shit, we finessein shit
You ain't real enough, and that's on gang",3202190,en,en,en
Paparazzi / Do What U Want / Dope  artRAVE paris version,pop,Lady Gaga,2019,87,{},"[Drop]
In a way, exhausting
We're problem solving
Drink ’til she's attractive
We're PARTYNAUSEOUS
Talking ’bout diplomatic
I brought my plastic
Making that peace attractive
We're PARTYNAUSE..S

-Paparazzi-

[Verse 1]
We are the crowd!
We're c-coming out!
Got my flash on, it's true
Need that picture of you, it's so magical!
We'd be so fantastical
Leather and jeans, garage glamorous
Not sure what it means
But this photo of us, it don't have a price
Ready for those flashing lights
'Cause you know that, bcby, I...
[Chorus]
I’m your biggest fan *raises arms*
I’ll follow you until you lcve me
Papa-paparazzi !
Bcby, there's no other superstar you know that I’ll be
Your papa-paparazzi !
Promise I'll be kind
But I won't stop until that boy is mine
Bcby, you'll be famous
Chase you down until you lcve me
Papa-paparazzi! *walk at every drop*

[Verse 2]
I’ll be your girl backstage at your show!
Velvet ropes and guitars
Yeah, 'cause you're my rockstar in between the sets!
Eyeliner and cigcrettes
Shcdow is burnt
Yellow dance and we turn
My lcshes are dry
Purple teardrops, I cry
It don't have a price
Loving you is cherry pie
'Cause you know that, bcby, I...

[Chorus]
I'm your biggest fan *get off hat and dress*
I'll follow you until you lcve me
Papa-paparazzi
Baby, there's no other superstar you know that I'll be
Your papa-paparazzi
Promise I'll be kind
But I won't stop until that boy is mine
Baby, you'll be famous
Chase you down until you lcve me
Papa-paparazzi
[Bridge]
Real good !
We dance in the studio!
Snap snap to that s. on the radio
Don't stop for anyone
We're plastic, but we still have fun!

[Chorus]
I'm your biggest fan
I'll follow you until you lcve me
Papa-paparazzi
Baby, there's no other superstar you know that I'll be
Your papa-paparazzi
Promise I'll be kind
But I won't stop until that boy is mine
Baby, you'll be famous
Chase you down until you lcve me
Papa-paparazzi
Promise I'll be kind
But I won't stop until that boy is mine
Baby, you'll be famous
Chase you down until you lcve me
Papa-paparazzi

-Do What U Want-
[Intro: Lady Gaga]
Oh!
Yeah, yeah
Oh
Oh
C'mon with me !

[Verse 1: Lady Gaga]
I, I feel good, I walk alone!
But then I trip upon myself and I fall
I, I stand up, and then I'm okay!
But then you print some shit that makes me wanna scream

[Pre-Chorus: Lady Gaga]
So do what you want, what you want with my body
Do what you want, don't stop, let's party
Do what you want, what you want with my body
Do what you want, what you want with my body
Write what you want, say what you want 'bout me
If you're wondering, know that I'm not sorry
Do what you want, what you want with my body
What you want with my body!

[Chorus: Lady Gaga]
You can't have my heart, and you won't use my mind!
But do what you want with my body
Do what you want with my body!
You can't stop my voice 'cause you don't own my life *shake hair*
But do what you want with my body
Do what you want with my body

[Bridge: Lady Gaga]
Sometimes I'm scared, I suppose
If you ever let me go
I would fall apart if you break my heart
So just take my body and don't stop the party Yeah, yeah! *shake body*

[Chorus: Lady Gaga]
You can't have my heart and Help me now
You won't use my mind
But do what you want with my body
Do what you want with my body
You can't stop my voice, 'cause
You don't own my life You
But do what you want with my body
Do what you want with my body
Do what you want with my body with me !
What you want with my body
Do what you want with my body with me !
What you want with my body
Do what you want with my body with me !
What you want with my body
Do what you want with my body with me !
What you want with my body world..

[Before Dope]
*sit*
*shows heart balloon*
You.. can.. have my-y heart! help me now-ow..
Hey world. You can't have my heart and you won't use my mind. *stand up* But you can have my body!, I don't want my body! what you want with my.. body-yeah-eh! *poses*

OOoh! Oooh! *falsetto* Monsters I love you! Love.. Yahoo-ohhh!
*poses*

Je vous adore Paris. ARE YOU HAVING A GOOD TIME TONIGHT?
Yeah, me too. I couldn't wait to get to Paris
*takes letter* I'm gonna read this letter in just a moment. First I wanna sing, sing a song
*plays piano*
I'd like to dedicate this song to anyone who's lost somebody because of drgs and alhol, or depression, or s*icide. This is called dxpe

-Dope-

[Verse 1]
Cork's off, it's on
The party's just begun
I promise this d* is my last one
I know I f* up.. again!
Because I lost my only friend
God, forgive my sins..*looks down*
Don't leave me, I
Oh, I'll hate myself until I die! *hold notes*

[Chorus]
My heart would break without you..!
Might not awake without you..!
Been hurting low from living high for so long!
I'm sorry, and I lxve you
Stay with me, ""Bell Bottom Blue""..
I'll keep on searching for an answer, 'cause I need you more than dxpe

[Post-Chorus]
I need you more than dxpe
I need you more than dxpe
I need you more than dxpe
I need you more than dx-pe..

[Verse 2]
Toast, one last puff.. and two last regrets
Three spirits and twelve lonely steps
Up heaven's stairway to gold..
Mine myself like coal
A mountain of a soul
Each day, I cry..!
Oh, I feel so low from living high! *closes eyes*

[Chorus]
My heart would break without you!
Might not awake without you!
Been hurting low from living high for so long! *hold notes*
I'm sorry, and I lxve you..
Stay with me, ""Bell Bottom Blue""
I'll keep on searching for an answer, 'cause I need you more you know..

[Post-Chorus]
I need you more than dxpe..
I need you more than dxpe
We need you more than dxpe..
I need you more than dxpe *hold notes*

*dry tears and nose*

[Outro]
My heart would break without you..
Might not awake without you..
Been hurting low from living high for so long.. *vibratos*
I'm sorry, we lxve you..
Stay.. with you
I need more.. searching for an answer, 'cause I need you more.. you know.. more than dxpe..
More than dx-oh-pe !

I lxve you.. *poses*",4242781,en,en,en
Lover  Confidante,pop,The Blue Aeroplanes,1986,99,{},"Bring me up to scratch
Of lies that I have told
The error of my ways

A wall outside has fallen in
I don't understand it in disrepair
It's turns
Your skin

Hey come on over
I'd really like to see you
Why don't you come over
Let's go for a drink after
Hey come on over
I'd really like to see you
If I cannot do that to her
I'd like to talk about her

We could drink a skin of this
From any particular position
It means the animation
Of any tune

Break the neck of the bottle for the message
And use your drink for deadline
And he's saying too much for comfort

We should stick to communicating by touch

Hey come on over
I'd really like to see you
Why don't you come over
Let's go for a drink after
Hey come on over
I'd really like to see you
If I can't talk to her
I'd like to talk about her

It's the question of an aesthetic
She said 'you'd better dance, right'
You said I'd cried for fourteen days
For fourteen nights I cried
And she said nothing

And neither did her friend
This is how important things end
Hey come on over
I'd really like to see you
Why don't you come over
Let's go for a drink after
Hey come on over
I'd really like to see you
I can't talk to her
So I'd like to talk about her

Hey come on over",754054,en,en,en
Spooky,pop,TroyBoi,2018,3373,"{""David Stewart""}","[Verse 1: Dave Stewart]
This shit ain't normal
This shit is twisted
I'm running backwards
Gotta revisit
But this is just human nature
Endorphins running through my veins
This shit ain't normal
This shit is twisted
Yeah

[Pre-Chorus: Dave Stewart]
No it don't matter what the day is
Cause we far from strangers
All the sex so dangerous
Oh baby it's just a matter of time till we
Aye
Turn the room upside down
Like two kids in a playground
But I can't trust a thing that you say now girl
Oh why you gotta act so damn
[Chorus: Dave Stewart]
Spooky
Why you gotta act so damn
Spooky
Tell me why you gotta act so damn
Spooky
Why you gotta act so damn
Spooky
Tell me why you gotta act so damn

[Verse 2: Dave Stewart]
Yeah
We keep it low down
Nobody know now
I just can't right these wrongs
Yeah
Now this a showdown
Yeah, yeah
Oh I just be acting stupid
And now we do this on the regular
You got me playing so foolish
And now I'm doing everything I said to ya

[Pre-Chorus: Dave Stewart]
No it don't matter what the day is
Cause we far from strangers
All the sex so dangerous
Oh baby it's just a matter of time till we
Aye
Turn the room upside down
Like two kids in a playground
But I can't trust a thing that you say now girl
Oh why you gotta act so damn
[Chorus: Dave Stewart]
Spooky
Why you gotta act so damn
Spooky
Tell me why you gotta act so damn
Spooky
Why you gotta act so damn
Spooky
Tell me why you gotta act so damn

[Verse 3: Dave Stewart]
You ask me out like I'm drinking drinking all night
From the bottle baby
You bring this side out of me
I don't wanna know, wanna see ya
You got me faded, all that sex in my bloodstream darling
Girl you're fucking me up
Oh why you gotta act so damn

[Chorus: Dave Stewart]
Spooky
Why you gotta act so damn
Spooky
Tell me why you gotta act so damn
Spooky
Why you gotta act so damn
Spooky
Tell me why you gotta act so damn",3665194,en,en,en
